date,max_temp,min_temp
2026-09-04,28.5,19.5
2026-09-05,24.8,16.9
2026-09-06,28.1,15.5
2026-09-07,28.9,20.5
2026-09-08,26.2,15.2
2026-09-09,21.2,13.2
2026-09-10,21.2,11.5
2026-09-11,25.4,14.9
